Cid,Duration,Event,DM,Sex,Age,Freq,Amount
355,50,1,1,0,20,4,8.45
356,25,1,0,0,28,1,7.93
357,27,1,0,0,44,5,8.27
358,25,1,0,1,40,1,8.01
359,30,1,1,0,34,2,8.24
360,35,1,0,1,38,2,8.54
361,34,1,1,1,26,1,8.48
362,31,1,1,0,38,3,8.21
363,54,0,0,1,27,5,7.56
364,40,1,1,0,45,2,8.4
365,40,1,1,0,35,5,7.97
366,54,0,1,0,41,3,8.64
367,38,1,1,1,65,2,8.38
368,22,1,1,0,33,6,8.29
369,27,1,0,1,20,1,8.42
370,21,1,0,0,44,2,8.18
371,15,1,1,1,40,4,7.76
372,38,1,1,0,42,4,8.54
373,54,0,0,0,68,2,8.28
374,22,1,1,1,32,1,8.26
375,22,1,1,0,23,2,8.58
376,40,1,0,1,31,1,8.49
377,35,1,1,0,31,2,8.36
378,32,1,1,0,48,1,7.96
379,10,1,0,0,21,3,8.3
380,36,1,0,1,49,2,8.36
381,41,1,0,0,45,2,8.19
382,32,1,1,0,26,1,8.22
383,36,1,0,0,51,2,8.79
384,36,1,0,0,67,2,8.12
385,38,1,0,1,46,1,8.05
386,20,1,0,1,33,4,8.55
387,26,1,1,1,37,1,8.06
388,21,1,0,0,46,1,8.43
389,44,1,0,0,56,2,8.15
390,34,1,1,0,50,3,8.02
391,29,1,0,1,46,1,8.39
392,49,1,0,1,51,3,8.35
393,38,1,0,0,24,2,8.14
394,25,1,0,0,22,1,7.99
395,38,1,0,0,27,2,8.39
396,46,1,1,0,65,2,7.39
397,27,1,1,0,70,2,8.3
398,24,1,0,0,61,2,8.58
399,39,1,1,0,49,3,8.52
400,37,1,1,1,60,1,8.08
401,50,1,0,0,56,2,8.07
402,34,1,1,1,45,2,8.29
403,29,1,0,0,36,1,8.35
404,37,1,0,1,53,5,8.39
405,13,1,1,0,26,4,8.63
406,27,1,0,1,37,1,8.37
407,20,1,0,0,48,1,7.75
408,25,1,0,1,38,3,8.42
409,34,1,0,1,43,1,8.23
410,26,1,0,1,62,1,8.43
411,54,0,1,1,29,4,8.51
412,8,1,0,1,28,1,8.3
413,23,1,1,1,22,2,8.01
414,19,1,1,0,56,6,7.78
415,28,1,0,1,43,1,7.43
416,21,1,0,0,26,3,8.53
417,25,1,1,1,51,4,8.41
418,33,1,1,0,42,6,8.24
419,43,1,1,0,28,3,8.56
420,9,1,0,1,46,2,8.39
421,31,1,1,0,41,3,8.23
422,40,1,1,0,60,2,7.64
423,32,1,0,1,52,5,8.05
424,20,1,0,1,61,1,7.91
425,24,1,1,0,29,1,7.95
426,29,1,0,0,35,2,8.62
427,32,1,0,1,50,2,8.15
428,52,1,1,0,55,3,8.31
429,39,1,1,1,35,5,8.01
430,48,1,0,0,57,1,8.56
431,54,0,0,0,45,3,8.14
432,19,1,0,0,22,1,8.28
433,53,1,1,0,57,4,8.26
434,41,1,0,0,59,2,8.04
435,21,1,0,1,34,3,8.07
436,38,1,0,0,64,2,8.26
437,42,1,1,0,23,4,8.22
438,39,1,0,1,62,3,8.7
439,12,1,1,0,63,2,7.81
440,23,1,0,0,69,1,8.36
441,45,1,1,0,50,3,8.25
442,28,1,1,0,59,2,8.4
443,44,1,1,0,55,2,8.42
444,28,1,1,0,59,2,8.27
445,28,1,1,1,21,3,8.35
446,25,1,0,0,49,2,8.06
447,43,1,0,0,69,3,8.41
448,36,1,0,1,27,5,8.54
449,30,1,1,1,23,1,8.3
450,50,1,1,0,70,1,8.82
451,28,1,0,1,60,3,8.32
452,15,1,0,0,32,2,8.28
453,17,1,1,0,26,1,8.59
454,50,1,1,0,41,1,8.11
455,33,1,0,0,40,4,8.5
456,31,1,0,1,45,2,8.54
457,39,1,0,1,29,2,8.28
458,23,1,1,0,41,4,8.61
459,20,1,0,0,31,3,8.38
460,21,1,0,1,50,1,7.97
461,39,1,1,1,32,1,8.01
462,29,1,1,1,30,2,7.93
463,40,1,1,1,53,2,8.28
464,30,1,1,1,29,1,8.46
465,17,1,1,0,23,4,8.33
466,10,1,0,1,39,2,7.64
467,28,1,0,1,38,4,8.36
468,29,1,1,0,41,4,8.34
469,24,1,1,0,60,1,8.27
470,31,1,0,0,22,1,8.26
471,10,1,1,0,34,2,8.13
472,19,1,0,0,26,3,8.44
473,44,1,1,0,38,4,8.23
474,36,1,0,1,48,1,8.64
475,27,1,1,0,45,3,8.3
476,25,1,0,0,49,2,8.09
477,39,1,1,0,50,3,8.5
478,38,1,1,1,62,2,8.28
479,41,1,1,1,62,2,8.18
480,31,1,0,0,48,7,7.8
481,48,1,0,0,32,4,8.12
482,41,1,0,0,65,2,7.67
483,30,1,0,0,55,4,7.91
484,28,1,1,0,35,2,8.26
485,37,1,1,1,63,2,8.2
486,31,1,1,0,61,1,7.85
487,45,1,1,1,52,2,8.17
488,31,1,0,0,61,2,8.07
489,28,1,1,0,33,1,8.48
490,33,1,1,1,49,1,8.51
491,37,1,0,0,21,4,8.24
492,28,1,0,0,34,2,8.25
493,37,1,1,0,36,2,8
494,9,1,1,0,18,2,8.11
495,40,1,1,0,36,1,8.27
496,37,1,0,1,39,3,7.64
497,52,1,1,0,70,2,8.61
498,39,1,1,0,35,1,8.19
499,33,1,1,1,33,3,8.49
500,16,1,1,1,25,4,7.7
501,35,1,0,0,61,1,8.11
502,10,1,1,1,47,2,8.47
503,46,1,0,0,57,4,8.02
504,20,1,0,1,56,2,8.16
505,39,1,1,0,50,2,8.55
506,32,1,1,0,64,1,7.97
507,28,1,1,1,66,3,8.44
508,23,1,1,1,45,3,8.07
509,14,1,0,0,28,3,8.46
510,42,1,1,0,65,2,8.62
511,31,1,0,1,45,2,8.38
512,7,1,1,0,17,1,8.15
513,37,1,0,1,57,2,7.79
514,35,1,0,0,28,2,8.58
515,28,1,0,0,17,1,7.56
516,46,1,0,0,68,2,8.14
517,38,1,1,1,41,3,8.47
518,37,1,1,0,66,2,7.63
519,35,1,1,0,48,1,8.52
520,22,1,1,0,39,5,8.03
521,50,1,0,0,27,3,8.57
522,28,1,0,1,57,2,8.23
523,31,1,1,0,22,2,8.51
524,45,1,0,0,68,4,7.58
525,29,1,1,0,63,2,7.89
526,9,1,1,0,67,1,8.49
527,14,1,0,0,37,1,8.34
528,33,1,1,1,63,5,7.85
529,36,1,0,1,23,1,8.51
530,17,1,0,1,34,1,8
531,27,1,0,1,62,2,8.42
532,13,1,0,1,22,2,8.11
533,24,1,1,1,42,5,7.48
534,45,1,1,1,45,3,8.61
535,31,1,0,0,49,3,8.58
536,27,1,0,0,51,1,8.45
537,19,1,0,0,31,5,8.44
538,39,1,1,0,64,2,8.61
539,45,1,1,0,52,3,8.46
540,35,1,0,0,42,2,7.99
541,46,1,1,1,48,2,8.2
542,29,1,0,0,34,1,8.26
543,24,1,1,1,22,4,8.53
544,32,1,0,1,50,1,8.52
545,42,1,0,0,59,3,8.18
546,32,1,0,0,62,3,7.72
547,43,1,1,0,39,4,8.6
548,38,1,0,1,66,2,7.66
549,22,1,1,0,55,1,8.45
550,25,1,1,1,65,6,7.98
551,54,0,1,0,46,1,8.29
552,16,1,1,0,48,1,8.2
553,9,1,0,1,40,2,8.47
554,18,1,1,1,21,4,8.38
555,23,1,0,0,20,3,8.55
556,14,1,0,0,22,1,8.2
557,32,1,1,0,49,2,8.44
558,45,1,0,1,19,1,8.58
559,35,1,0,0,60,3,7.64
560,26,1,1,0,29,1,8.21
561,37,1,1,1,44,2,8.2
562,37,1,0,0,44,4,8.26
563,29,1,0,1,23,1,8.4
564,30,1,0,0,63,1,8.12
565,34,1,0,1,45,2,8.27
566,32,1,0,1,56,1,8.26
567,10,1,1,0,22,1,8.45
568,35,1,0,0,61,3,8.64
569,26,1,1,0,30,2,8.11
570,33,1,1,1,48,2,8.26
571,26,1,0,0,20,3,8.08
572,24,1,1,0,32,3,7.71
573,31,1,1,1,25,1,7.95
574,23,1,1,0,19,3,8.17
575,21,1,0,0,51,2,8.45
576,40,1,0,1,63,1,8.15
577,34,1,0,0,57,2,8.09
578,54,0,1,0,64,3,8.21
579,19,1,0,1,43,1,8.55
580,40,1,1,0,61,2,7.99
581,13,1,0,1,34,4,7.86
582,33,1,1,1,62,2,8.25
583,44,1,1,0,40,4,8.22
584,23,1,1,0,23,3,8.7
585,21,1,0,1,59,2,8.66
586,26,1,1,1,28,1,8.27
587,42,1,0,0,56,1,8.16
588,36,1,1,0,60,5,8.26
589,31,1,0,0,53,2,8.03
590,14,1,0,1,17,5,8.54
591,23,1,1,0,44,1,8.03
592,35,1,1,1,67,1,8.04
593,29,1,1,0,52,2,7.53
594,34,1,0,0,62,4,7.81
595,43,1,1,0,67,6,8.07
596,31,1,0,1,60,1,8.74
597,38,1,1,1,53,2,7.82
598,42,1,0,0,30,2,8.33
599,22,1,1,0,51,1,8.17
600,14,1,0,0,50,2,8.44
601,23,1,1,1,32,1,8.38
602,16,1,0,1,33,1,8.46
603,32,1,1,0,32,2,7.57
604,40,1,1,0,40,1,8.65
605,21,1,0,0,24,2,8.5
606,18,1,0,0,33,1,7.99
607,16,1,0,1,31,2,8.17
608,42,1,1,0,58,2,8.07
609,36,1,1,1,19,1,8.02
610,22,1,1,1,38,1,8.24
611,14,1,0,0,36,3,8.46
612,7,1,1,0,19,2,8.09
613,26,1,0,0,19,2,8.64
614,34,1,1,1,30,2,8.07
615,25,1,0,1,70,3,8.21
616,26,1,1,0,20,1,7.28
617,23,0,1,0,55,2,7.11
618,25,1,1,1,37,2,8.21
619,25,1,1,0,50,2,8.33
620,29,1,1,1,47,3,8.29
621,41,1,0,1,61,2,7.57
622,29,1,0,0,48,1,8.69
623,22,1,0,1,27,1,8.13
624,38,1,0,0,30,3,8.55
625,26,1,1,0,35,3,8.02
626,49,1,0,0,40,1,7.99
627,17,1,0,0,23,1,8.89
628,31,1,1,1,18,1,8.35
629,20,1,1,0,21,1,7.97
630,27,1,1,0,47,1,8.37
631,44,1,0,1,41,3,8.24
632,9,1,0,1,39,2,8.41
633,50,1,1,0,50,2,8.57
634,15,1,1,0,21,2,8.33
635,26,1,0,0,49,1,8.31
636,49,1,1,1,24,1,8.69
637,13,1,0,0,20,5,8.24
638,21,1,1,0,23,1,8.13
639,29,1,0,0,53,1,8.52
640,17,1,1,1,41,1,8.29
641,28,1,0,0,36,2,8.55
642,33,1,1,1,67,1,8.49
643,31,1,0,0,27,3,8.23
644,25,1,0,0,36,2,8.23
645,36,1,1,1,60,1,8.45
646,50,1,1,0,34,3,8.39
647,40,1,1,1,51,1,8.35
648,50,1,0,0,65,3,7.51
649,31,1,1,0,41,2,8.55
650,29,1,1,0,69,1,8.77
651,22,1,1,0,59,1,8.12
652,40,1,1,1,63,2,8.19
653,39,1,0,0,51,1,7.82
654,28,1,1,0,35,1,8.3
655,8,1,1,1,31,4,8.37
656,36,1,1,0,41,4,8.18
657,37,1,0,0,28,2,7.95
658,21,1,0,0,52,2,8.54
659,29,1,0,1,19,2,8.43
660,43,1,1,1,52,2,8.53
661,3,1,0,0,21,2,8.46
662,29,1,1,0,59,1,8.43
663,34,1,0,0,51,1,8.16
664,34,1,1,1,20,2,8.22
665,19,1,0,0,29,1,8.49
666,28,1,0,0,62,4,7.58
667,38,1,0,0,33,4,8.6
668,25,1,1,1,20,1,8.33
669,36,1,0,1,40,1,7.93
670,30,1,1,0,19,1,7.33
671,15,1,0,1,23,1,7.98
672,23,1,0,1,47,2,8.29
673,40,1,1,1,28,3,8.5
674,23,1,0,0,44,4,8.08
675,28,1,0,0,36,2,8.44
676,29,1,1,1,19,6,8.42
677,25,1,0,1,31,1,8.62
678,46,1,1,1,45,1,8.3
679,19,1,0,0,55,1,8.5
680,36,1,1,0,23,1,7.83
681,47,1,1,1,70,4,8.71
682,54,0,1,0,52,5,8.29
683,40,1,1,1,25,3,8.39
684,4,1,0,1,21,2,8.12
685,28,1,1,0,43,2,7.82
686,42,1,0,0,68,1,8.62
687,8,1,1,0,30,1,8.51
688,32,1,1,0,51,1,8.57
689,26,1,0,0,53,3,7.68
690,43,1,0,0,60,2,8.27
691,31,1,0,0,29,1,8.24
692,35,1,1,0,53,1,8.49
693,31,1,0,0,44,1,8.41
694,33,1,0,0,66,1,8.16
695,35,1,1,0,62,3,8.57
696,18,1,0,0,30,1,8.55
697,21,1,0,1,31,1,8.56
698,49,1,0,0,43,2,7.93
699,14,1,0,1,33,2,8.04
700,26,1,1,0,41,3,8.37
701,32,1,0,0,26,1,7.94
702,17,1,1,0,47,3,8.24
703,43,1,0,0,59,7,8.6
704,35,1,0,1,50,2,8.2
705,26,1,0,0,70,3,7.77
706,51,1,1,0,64,3,8.13
707,20,1,1,0,26,5,8.43
708,36,1,0,0,30,2,8.49
709,36,1,1,0,59,3,8.38
710,44,1,0,0,40,2,7.49
711,33,1,1,1,46,2,8.46
712,11,1,1,0,26,2,8.17
713,39,1,0,1,59,2,8.66
714,54,0,0,1,55,4,8.31
715,54,0,0,0,43,5,8.53
716,47,1,1,1,18,6,7.9
717,16,1,0,1,68,3,8.45
718,35,1,1,0,46,1,7.83
719,22,1,0,1,21,2,7.99
720,22,1,0,0,60,1,8.48
721,26,1,0,0,58,2,8.37
722,20,1,0,1,55,2,7.99
723,27,1,0,0,59,3,8.54
724,31,1,0,0,31,2,8.23
725,49,1,0,0,61,2,8.14
726,14,1,1,0,49,1,7.66
727,26,1,0,1,21,2,8.45
728,32,1,1,1,31,3,8.21
729,43,1,0,0,57,3,8.2
730,29,1,0,1,51,5,8.45
731,39,1,1,1,28,2,7.95
732,32,1,0,0,59,3,8.25
733,54,0,0,0,67,2,8.53
734,39,1,1,1,67,5,8.33
735,13,1,1,0,38,1,7.83
736,32,1,0,1,48,1,8.27
737,40,1,0,0,51,6,8.22
738,38,1,0,0,60,3,8.26
739,18,1,0,0,38,4,8.37
740,22,1,0,0,47,3,8.66
741,37,1,0,1,49,1,8.19
742,26,1,0,0,32,2,8.36
743,13,1,1,0,17,3,8.58
744,11,1,0,0,19,1,8.27
745,37,1,1,0,40,2,8.66
746,28,1,1,0,31,1,8.12
747,28,1,0,0,38,2,8.06
748,21,1,1,1,36,1,8.52
749,28,1,0,0,65,5,8.22
750,46,1,0,0,65,1,7.89
751,28,1,0,0,55,3,8.15
752,28,1,0,0,39,4,8.56
753,14,1,0,1,26,2,8.29
754,24,1,1,0,23,2,8.06
755,31,1,0,1,41,3,8.42
756,31,1,1,1,19,2,8.16
757,49,1,1,0,68,3,8.29
758,23,1,0,0,59,1,8.63
759,50,1,0,0,37,2,8.39
760,41,1,0,0,53,1,8.36
761,42,1,0,1,56,4,7.6
762,36,1,0,0,24,3,8.37
763,52,1,0,1,17,3,8.31
764,30,1,0,1,50,1,8.33
765,42,1,1,0,41,4,8.44
766,35,1,1,0,31,2,8.63
767,26,1,1,0,26,3,8.38
768,54,0,1,1,63,3,8.18
769,32,1,1,1,25,1,8.28
770,19,1,1,0,23,1,8.25
771,31,1,1,0,67,1,8.02
772,28,1,1,1,24,2,8.27
773,29,1,0,0,36,3,8.18
774,53,1,1,0,61,3,8.11
775,39,1,0,0,59,1,8.24
